Observed,F_Time,NDE_cycle,diff_two_peaks_ratio,amp_ratio,pos_ratio,energy_ratio,NLE_ratio_51_17,NLE_ratio_85_17,NLE_ratio_119_17,NLO_avg,Avg_RP,ACEE_30_Avg_58,ACEE_500_Avg_58,ACPD_Avg_58
False,1677585.405529059,750000,0.36919613984233013,0.7909671347461522,1.0042216768354468,0.6642365443415806,0.8787363437644934,1.0891968939711116,0.4749961810673057,5.523951118839385,171.11844356376366,-0.8236547274819277,-1.4922239191674993,2.794844994470234
True,251480.3321834465,900000,0.2885769983673332,1.0327567471735888,1.0120010224958063,0.5825605023364283,0.9090434926281469,1.1401870130784286,0.4815787515355843,5.382439736405329,170.88580601457602,-0.9383933465878231,-1.433755037392511,2.371269875326791
False,1562539.1428117722,750000,0.35118657159455174,0.8890903744370022,1.003522207465743,0.7076119181518948,0.8895438427589477,1.0980044184711104,0.488078619224226,6.206972162436349,170.58289681248482,-0.89776539814196,-1.421682803563356,3.4480852542503015
True,215346.37433381018,900000,0.21452014835069794,1.1627904435250673,1.0059401096923297,0.5348277777307551,0.9061550738147189,1.153442537995416,0.4869324025651278,5.276835213720464,171.10624895088094,-1.1060753261902672,-1.6383500647560771,2.449907786127119
True,331118.3522865383,900000,0.1426761193556095,1.0336266405819674,0.9991612770086316,0.6527596486873075,0.8830807677554484,1.1345677858760699,0.4798632999243545,5.9115512479872825,169.74898137985434,-0.8183313962093696,-1.5040624174789927,2.6589047065236544
False,1486276.8833597496,750000,0.3660346489862873,1.0377800090012705,0.99738923568443,0.7225115600209963,0.8750292042483445,1.0802500530338623,0.468365731060585,6.774990589713156,170.93624737881106,-0.931980630940688,-1.2456479696971852,3.6403346239873553
True,297919.06113345973,600000,0.4785569037040551,1.1372864008027341,0.9888436563990042,1.1483246800663895,0.9679934231199337,1.141032453391244,0.5020910777834157,4.722303574099291,172.93564777724646,-0.8591123479354199,-1.8728103967915535,2.9815786086186495
False,1892071.5544316364,750000,0.3893791670103269,0.9992227699562662,1.0056101426306996,0.8416604992168699,0.8821360467820204,1.1076370432654488,0.4815292707261836,6.134799818011025,171.64477432684333,-0.8282404021154368,-1.3886714430615132,3.525903222256334
False,1559445.9888465242,750000,0.4035813252507398,0.980643647538954,0.989907002017917,0.7007836849867738,0.9036583710846727,1.1232574400966828,0.49351757387192907,7.151560711869866,170.3049159908126,-0.8722515799833586,-1.4136687693653123,4.476908619951304
False,1491369.6804005303,750000,0.3280226346595102,0.9088371116377556,1.000399839114961,0.7552921791241068,0.9021380044482488,1.080892096704964,0.4815425180211641,6.973147674273275,174.0220639430501,-0.9779101474411241,-1.2950828630558857,3.837670916831642
False,1424380.2744525531,600000,0.5572194072846788,0.9762007378662638,0.9875002514716837,0.9685304349697508,0.8982647854251031,1.121246195444915,0.49717839490394056,4.873775890317168,172.59834959869653,-0.8203597855374192,-1.0299971867048308,3.376585559379717
