,KJIC,MS_Avg,TEP_average,Beta_avg,PC_IF_2.25MHz,PC_IF_3.5MHz,PC_BS,type_cw,Type
0,79.17778313797581,0.009250000000000001,-1.1057157821356112,0.0021217277795625195,338.92410089195965,263.7371110669219,11.109954903763207,A286-0,A286
1,61.59157094033174,1.9990195694505497,-1.3154605121033025,0.002241611924216118,343.03391940551654,216.8582034184347,-55.75481668600861,A286-80,A286
2,145.57041012857852,2.0421113054446036,-1.0673500157989717,0.0017979172652172405,533.1033632716477,149.13007896769545,-34.49815592096783,347-20,347
3,101.06707155276439,0.01669865357599668,-1.4626488540500613,0.0022604091923769543,6.095010090837995,12.32728661207085,-27.993259550259392,304-40,304
4,101.54357591250798,0.32043951419009004,-1.270048759083824,0.0026924352570090533,0.011826944027312063,101.16069091908975,-9.956184433399947,A286-0,A286
5,131.73709635881616,0.022114075442576837,-1.205545016076939,0.002257855902830352,205.11391841901786,741.9969860972137,3.148162730749121,A286-0,A286
6,128.82430703473764,5.537969063824638,-1.364549128629409,0.0026978874129023464,168.09520603104377,-29.72463157758645,3.253887380318261,347-0,347
7,29.603985782848465,0.009250000000000001,-1.3339787037477469,0.0022683489611186386,839.5417504167202,1137.8343384372347,-61.097177843986245,A286-60,A286
8,144.44997956248596,0.45901488538966023,-1.6000258862252068,0.002368497849945065,9.825220369390808,162.78293619370538,-10.292685343976109,347-40,347
9,96.68465185894911,0.4190548927768231,-1.4207582571878816,0.002500847894023913,47.10806443941766,187.31972807754212,8.495452333428503,316-20,316
10,97.70219186628609,0.06979119033619435,-1.339386926790879,0.0022700749681894418,389.7090291105425,174.50379416946592,-60.06253471716076,A286-80,A286
11,81.53014020113126,0.009346862405433648,-1.2517010157933142,0.0025725101762824956,195.20454967640904,183.82172151268279,-6.519356664018044,316-0,316
12,36.99852846628251,0.009752766464771155,-1.2424978261174282,0.002183399569261956,1016.9952985644653,1376.8736550797285,-50.31953163803553,A286-60,A286
13,124.61519858153684,3.779548101416133,-1.6347860242273768,0.0022246165005868424,43.30347356279769,269.13138802599303,-19.464507563883075,347-40,347
14,76.55868796030101,3.0482126208406437,-1.012778805899731,0.002543481059834227,41.31563755239517,142.7621494155958,29.9999992820759,304-80,304
15,74.29393229893265,0.009250000000000001,-1.2180642382199975,0.0022502087133650095,625.4861153497101,1222.4609671419232,-0.8619238295782665,A286-20,A286
16,79.82978750698517,0.01686152028611192,-1.3251552174176866,0.0022957258963951423,4.915222905983524,-47.800371545461445,-47.961459401634265,316-0,316
17,92.15165728210495,0.06116506704128089,-1.377723793527374,0.0022730955973764783,0.902414664341141,192.82367506783999,16.97264638658788,A286-0,A286
18,54.99637798287247,0.028889133770542152,-1.425776625802531,0.0022188108325200614,604.9506193970308,314.5684840242951,-67.14146252477167,A286-80,A286
19,165.95750601050682,2.7417869913930395,-1.6378444113493569,0.002018586916404151,77.5155621152826,286.1993521674797,-46.266011829775586,347-40,347
20,79.78883437125651,0.009438225131983181,-1.7369928690186867,0.0025208813539766856,202.3871089108312,90.33415352054226,-6.343090934121747,316-20,316
21,83.21527064183913,0.49796277188559446,-1.3262281249786203,0.0026044675563888934,108.50479129046217,151.98076074298524,3.6876795165479344,304-0,304
22,161.47140374196957,0.00989950349231887,-1.504136457159697,0.0020465017860501196,5.043013514638666e-08,-17.748337040759026,13.48734760540761,A286-0,A286
23,55.25320517329781,0.01027933927719514,-1.384305219357425,0.0025268040569218168,604.543609530953,1259.113894944421,-54.33402249912142,A286-60,A286
24,62.94861455313992,0.04518957803897009,-1.5045715672991655,0.0025868367406006697,29.92455581717463,241.3538981143365,-68.80831766363045,316-80,316
25,74.70925704143737,4.233064230023603,-1.0240748213338784,0.0022133023370595347,104.49702957423182,218.27074621784226,-56.90044877678557,304-80,304
26,97.35622033652454,0.13711582742680595,-1.2953279848020156,0.002331588866132912,165.28162910473063,258.91401561823136,7.569260095366133,316-20,316
27,63.083484473031554,0.009250572324485956,-1.4629640690350072,0.0024007607914244573,750.0797180326133,1110.7642220993384,-50.2483497891177,A286-80,A286
28,67.16464524677654,0.020245558982846218,-1.5347455342039253,0.0027418782403221724,3.907829456551896e-09,90.15625953132508,-66.60230378036401,316-80,316
29,92.72800533001205,0.06908034011573776,-1.6640382760296706,0.002753948497631174,4.825225987224013,67.49684196359627,11.741560765514752,316-20,316
30,290.62037158799126,0.011412591431261917,-1.5072787882490284,0.002628081865467776,0.13747541340739258,-15.388491867223337,13.989111499127535,347-0,347
31,90.17187408641904,0.026809337707751832,-1.266753948965212,0.0016248250718363284,270.10437193656986,381.2934957070306,-41.81199673842772,347-20,347
32,170.18290540702748,0.15915165548504176,-1.432219272384952,0.001977263863319223,134.75872219684376,165.73096071956894,-20.41345320710678,347-20,347
33,282.06357231632626,0.999063093627857,-1.2643891608302815,0.0017043177461479437,457.7201180746908,163.39339543641623,0.5919503592725448,347-20,347
34,114.14040053696463,0.481834633795766,-0.944735479905935,0.002562835879051068,289.0709738071175,263.740082219167,-59.8214111104236,347-80,347
35,80.4684305703268,0.009250000000014923,-1.7244062021710176,0.0027332384085041895,25.803504212329386,127.54628314022969,10.152210798206514,316-80,316
36,73.35799806001505,4.088480330174755,-0.9679667206349156,0.002704417195671191,120.21782849440449,144.00321508931546,-29.16150540730178,304-80,304
37,45.179323619655186,0.009250000000000001,-1.5727108462462098,0.0022770164796286447,310.33660629418233,899.5217474038086,-59.498082960118396,A286-80,A286
38,130.81078817786602,0.17749647626465076,-1.6575713298452022,0.002662121592092221,4.922437347395941e-09,610.6476186739802,13.415203224517622,347-0,347
39,76.71053089052924,1.2019140034695581,-1.8314509116022397,0.002362011160827315,147.16448303517012,92.75208997250533,-50.121215484840306,316-60,316
40,130.27489128802347,2.0220552159787735,-1.5849213753041675,0.0019046904544748736,549.90461434474,340.59669304586265,-32.29919803582273,347-20,347
41,97.95812825824356,0.009250000000000001,-1.4452324246595425,0.002561831903844799,151.78244108467882,581.3734291094684,-15.884703516610372,316-0,316
42,73.72873283343537,0.03174073797745,-1.2569330769885394,0.0026593498817887567,48.7821658698335,414.5507965466029,2.004619546839443,304-0,304
43,210.00330295253212,2.592206825805756,-1.083892953154199,0.0019574221669707527,10.781734799772364,66.7351765815057,12.486651471951678,304-40,304
44,20.28253986350096,0.009250000000584482,-1.5874433874242537,0.0020449698313290405,495.90279984308654,305.1785775167781,-69.00000009508557,A286-80,A286
45,91.87194271933878,4.484783079568296,-0.9770999335512562,0.002355686962735094,72.1137628075581,287.5747405580048,11.666823732777463,304-80,304
46,45.96672863502884,0.3093863650098513,-1.7697642090090353,0.0026270261440241856,77.36116413902994,185.45090332704842,-37.5998002282329,316-80,316
47,107.6332978593069,0.03691979117462819,-1.6179329077378037,0.0028605560735868677,8.74843143599071e-17,-29.752587419164882,22.626830408345686,316-20,316
48,391.07718485061974,3.006440835969838,-1.4128163254251258,0.0024290531060766635,3.244647367946321e-16,-44.34610694420982,30.000000119209144,347-0,347
49,88.71363786947725,1.246033568786108,-1.5498592788849306,0.0025045801646464408,217.08862526151023,186.21511969844033,-30.376449088360275,316-40,316
